code,title,description
CH 261,*LABORATORY FOR CHEMISTRY 231,"A general chemistry laboratory sequence for students majoring in most sciences, pharmacy, and chemical engineering. (Bacc Core Course if taken with <a href=""/search/?p=CH%20231"" data-action=""result-detail"" data-group=""code:CH 231"" >CH 231</a>)"
CH 261,*LABORATORY FOR CHEMISTRY 231,"A general chemistry laboratory sequence for students majoring in most sciences, pharmacy, and chemical engineering. (Bacc Core Course if taken with <a href=""/search/?p=CH%20231"" data-action=""result-detail"" data-group=""code:CH 231"" >CH 231</a>)"
CH 261,*LABORATORY FOR CHEMISTRY 231,"A general chemistry laboratory sequence for students majoring in most sciences, pharmacy, and chemical engineering. (Bacc Core Course if taken with <a href=""/search/?p=CH%20231"" data-action=""result-detail"" data-group=""code:CH 231"" >CH 231</a>)"
CH 261,*LABORATORY FOR CHEMISTRY 231,"A general chemistry laboratory sequence for students majoring in most sciences, pharmacy, and chemical engineering. (Bacc Core Course if taken with <a href=""/search/?p=CH%20231"" data-action=""result-detail"" data-group=""code:CH 231"" >CH 231</a>)"
CH 261H,*LABORATORY FOR CHEMISTRY 231H,"A general chemistry laboratory sequence for students majoring in most sciences, pharmacy, and chemical engineering. (Bacc Core Course if taken with <a href=""/search/?p=CH%20231H"" data-action=""result-detail"" data-group=""code:CH 231H"" >CH 231H</a>)"
CH 261H,*LABORATORY FOR CHEMISTRY 231H,"A general chemistry laboratory sequence for students majoring in most sciences, pharmacy, and chemical engineering. (Bacc Core Course if taken with <a href=""/search/?p=CH%20231H"" data-action=""result-detail"" data-group=""code:CH 231H"" >CH 231H</a>)"
CH 262,*LABORATORY FOR CHEMISTRY 232,Varies by section
CH 263,*LABORATORY FOR CHEMISTRY 233,"A general chemistry laboratory sequence for students majoring in most sciences, pharmacy, and chemical engineering. (Bacc Core Course if taken with <a href=""/search/?p=CH%20233"" data-action=""result-detail"" data-group=""code:CH 233"" >CH 233</a>)"
CH 263,*LABORATORY FOR CHEMISTRY 233,"A general chemistry laboratory sequence for students majoring in most sciences, pharmacy, and chemical engineering. (Bacc Core Course if taken with <a href=""/search/?p=CH%20233"" data-action=""result-detail"" data-group=""code:CH 233"" >CH 233</a>)"
CH 263,*LABORATORY FOR CHEMISTRY 233,"A general chemistry laboratory sequence for students majoring in most sciences, pharmacy, and chemical engineering. (Bacc Core Course if taken with <a href=""/search/?p=CH%20233"" data-action=""result-detail"" data-group=""code:CH 233"" >CH 233</a>)"
CH 263,*LABORATORY FOR CHEMISTRY 233,"A general chemistry laboratory sequence for students majoring in most sciences, pharmacy, and chemical engineering. (Bacc Core Course if taken with <a href=""/search/?p=CH%20233"" data-action=""result-detail"" data-group=""code:CH 233"" >CH 233</a>)"
CH 263,*LABORATORY FOR CHEMISTRY 233,"A general chemistry laboratory sequence for students majoring in most sciences, pharmacy, and chemical engineering. (Bacc Core Course if taken with <a href=""/search/?p=CH%20233"" data-action=""result-detail"" data-group=""code:CH 233"" >CH 233</a>)"
CH 263,*LABORATORY FOR CHEMISTRY 233,"A general chemistry laboratory sequence for students majoring in most sciences, pharmacy, and chemical engineering. (Bacc Core Course if taken with <a href=""/search/?p=CH%20233"" data-action=""result-detail"" data-group=""code:CH 233"" >CH 233</a>)"
CH 271,*LABORATORY FOR CH 231 FOR CHEMISTRY MAJORS,"A general chemistry laboratory sequence for students majoring in chemistry. (Bacc Core Course if taken with <a href=""/search/?p=CH%20231"" data-action=""result-detail"" data-group=""code:CH 231"" >CH 231</a>)"
CH 271,*LABORATORY FOR CH 231 FOR CHEMISTRY MAJORS,"A general chemistry laboratory sequence for students majoring in chemistry. (Bacc Core Course if taken with <a href=""/search/?p=CH%20231"" data-action=""result-detail"" data-group=""code:CH 231"" >CH 231</a>)"
CH 324,QUANTITATIVE ANALYSIS,Varies by section
CH 324,QUANTITATIVE ANALYSIS,Varies by section
CH 324,QUANTITATIVE ANALYSIS,Varies by section
CH 324,QUANTITATIVE ANALYSIS,Varies by section
CH 324,QUANTITATIVE ANALYSIS,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 331,ORGANIC CHEMISTRY,Varies by section
CH 334,ORGANIC CHEMISTRY,"Professional course for majors in chemistry, biochemistry, chemical engineering and other students who need a year of organic chemistry. In-depth treatment of major classes of organic compounds. Interrelation of mechanistic and synthetic approaches."
CH 337,ORGANIC CHEMISTRY LABORATORY,Varies by section
CH 337,ORGANIC CHEMISTRY LABORATORY,Varies by section
CH 337,ORGANIC CHEMISTRY LABORATORY,Varies by section
CH 361,EXPERIMENTAL CHEMISTRY I,"First term of integrated laboratory program for chemistry majors highlighting techniques in organic, physical, and analytical chemistry. First-hand experience is gained using specialized glassware, scientific equipment and instrumentation plus computers. Essential technical laboratory standards and technical writing are emphasized. Lec/lab."
CH 361,EXPERIMENTAL CHEMISTRY I,"First term of integrated laboratory program for chemistry majors highlighting techniques in organic, physical, and analytical chemistry. First-hand experience is gained using specialized glassware, scientific equipment and instrumentation plus computers. Essential technical laboratory standards and technical writing are emphasized. Lec/lab."
CH 361,EXPERIMENTAL CHEMISTRY I,"First term of integrated laboratory program for chemistry majors highlighting techniques in organic, physical, and analytical chemistry. First-hand experience is gained using specialized glassware, scientific equipment and instrumentation plus computers. Essential technical laboratory standards and technical writing are emphasized. Lec/lab."
CH 361,EXPERIMENTAL CHEMISTRY I,"First term of integrated laboratory program for chemistry majors highlighting techniques in organic, physical, and analytical chemistry. First-hand experience is gained using specialized glassware, scientific equipment and instrumentation plus computers. Essential technical laboratory standards and technical writing are emphasized. Lec/lab."
CH 361H,EXPERIMENTAL CHEMISTRY I,"First term of integrated laboratory program for chemistry majors highlighting techniques in organic, physical, and analytical chemistry. First-hand experience is gained using specialized glassware, scientific equipment and instrumentation plus computers. Essential technical laboratory standards and technical writing are emphasized. Lec/lab."
CH 361H,EXPERIMENTAL CHEMISTRY I,"First term of integrated laboratory program for chemistry majors highlighting techniques in organic, physical, and analytical chemistry. First-hand experience is gained using specialized glassware, scientific equipment and instrumentation plus computers. Essential technical laboratory standards and technical writing are emphasized. Lec/lab."
CH 361H,EXPERIMENTAL CHEMISTRY I,"First term of integrated laboratory program for chemistry majors highlighting techniques in organic, physical, and analytical chemistry. First-hand experience is gained using specialized glassware, scientific equipment and instrumentation plus computers. Essential technical laboratory standards and technical writing are emphasized. Lec/lab."
CH 361H,EXPERIMENTAL CHEMISTRY I,"First term of integrated laboratory program for chemistry majors highlighting techniques in organic, physical, and analytical chemistry. First-hand experience is gained using specialized glassware, scientific equipment and instrumentation plus computers. Essential technical laboratory standards and technical writing are emphasized. Lec/lab."
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 401,RESEARCH,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 403,THESIS,
CH 405,READING AND CONFERENCE,
CH 406,PROJECTS,
CH 407,SEMINAR,
CH 407,SEMINAR: SEM/ TEACHING,
CH 407,SEMINAR,
CH 410,INTERNSHIP: INTERNSHIP/TEACHING,
CH 410,INTERNSHIP: INTERNSHIP/LAB DEVELOPMENT,
CH 410,INTERNSHIP: INTERNSHIP/EXTERNAL,
CH 410,INTERNSHIP,
CH 410,INTERNSHIP: INTERNSHIP/LEARNING ASSISTANT,
CH 411,INORGANIC CHEMISTRY,"Fundamental principles of inorganic chemistry including atomic structure, bonding models for molecules and solids, symmetry, acid/base chemistry, oxidation-reduction, and metal-ligand complexes."
CH 411,INORGANIC CHEMISTRY,"Fundamental principles of inorganic chemistry including atomic structure, bonding models for molecules and solids, symmetry, acid/base chemistry, oxidation-reduction, and metal-ligand complexes."
CH 418,NUCLEAR CHEMISTRY,"Radioactive decay, nuclear properties, nuclear structure, alpha, beta, and gamma decay, nuclear reactions, fission, interaction of radiation with matter, chemical techniques, radiation safety, and nuclear instrumentation."
CH 421,ANALYTICAL CHEMISTRY,"A professional sequence for majors in chemistry and related disciplines. Chemical equilibrium, analytical electrochemistry, separations, spectroscopy, instrumentation, and treatment of data."
CH 435,STRUCTURE DETERMINATION BY SPECTROSCOPIC METHODS,"Use of ultraviolet, infrared, nuclear magnetic resonance, and mass spectra for determination of structures and stereochemistry of complex organic molecules."
CH 440,PHYSICAL CHEMISTRY,"Thermodynamics, electrochemistry, solutions, kinetic theory of gases, chemical kinetics, quantum theory and statistical mechanics, molecular structure and spectroscopy."
CH 440,PHYSICAL CHEMISTRY,"Thermodynamics, electrochemistry, solutions, kinetic theory of gases, chemical kinetics, quantum theory and statistical mechanics, molecular structure and spectroscopy."
CH 450,INTRODUCTORY QUANTUM CHEMISTRY,Elementary wave mechanics and matrix mechanics of atoms and molecules. Quantum basis of chemical structure. Not offered every year.
CH 461,EXPERIMENTAL CHEMISTRY II,"Second-level integrated laboratory course for majors in chemistry and related disciplines, covering experimental techniques of analytical, inorganic, organic and physical chemistry. Lec/lab."
CH 461,EXPERIMENTAL CHEMISTRY II,"Second-level integrated laboratory course for majors in chemistry and related disciplines, covering experimental techniques of analytical, inorganic, organic and physical chemistry. Lec/lab."
CH 461H,EXPERIMENTAL CHEMISTRY II,"Second-level integrated laboratory course for majors in chemistry and related disciplines, covering experimental techniques of analytical, inorganic and physical chemistry. Lec/Lab."
CH 461H,EXPERIMENTAL CHEMISTRY II,"Second-level integrated laboratory course for majors in chemistry and related disciplines, covering experimental techniques of analytical, inorganic and physical chemistry. Lec/Lab."
CH 464,^EXPERIMENTAL CHEMISTRY II: *EXPERIMENTAL CHEMISTRY II,"Second-level integrated laboratory course for majors in chemistry and related disciplines, covering experimental techniques of analytical, inorganic, organic and physical chemistry. Lec/lab. (Writing Intensive Course)"
CH 464,^EXPERIMENTAL CHEMISTRY II,"Second-level integrated laboratory course for majors in chemistry and related disciplines, covering experimental techniques of analytical, inorganic, organic and physical chemistry. Lec/lab. (Writing Intensive Course)"
CH 464H,^EXPERIMENTAL CHEMISTRY II,"Second-level integrated laboratory course for majors in chemistry and related disciplines, covering experimental techniques of analytical, inorganic, organic and physical chemistry. Lec/lab. (Writing Intensive Course)"
CH 464H,^EXPERIMENTAL CHEMISTRY II,"Second-level integrated laboratory course for majors in chemistry and related disciplines, covering experimental techniques of analytical, inorganic, organic and physical chemistry. Lec/lab. (Writing Intensive Course)"
CHE 311,THERMODYNAMICS,"Entropy, the second law of thermodynamics, equations of state, and thermodynamic network."
CHE 311,THERMODYNAMICS,"Entropy, the second law of thermodynamics, equations of state, and thermodynamic network."
CHE 311,THERMODYNAMICS,"Entropy, the second law of thermodynamics, equations of state, and thermodynamic network."
CHE 311,THERMODYNAMICS,"Entropy, the second law of thermodynamics, equations of state, and thermodynamic network."
CHE 311,THERMODYNAMICS,"Entropy, the second law of thermodynamics, equations of state, and thermodynamic network."
CHE 311,THERMODYNAMICS,"Entropy, the second law of thermodynamics, equations of state, and thermodynamic network."
CHE 311,THERMODYNAMICS,"Entropy, the second law of thermodynamics, equations of state, and thermodynamic network."
CHE 311,THERMODYNAMICS,"Entropy, the second law of thermodynamics, equations of state, and thermodynamic network."
